iter	Passed	Remaining
470	685	770
471	686	767
472	687	765
473	688	763
474	689	762
475	690	760
476	691	758
477	692	756
478	693	754
479	694	752
480	695	750
481	696	748
482	697	746
483	698	744
484	699	743
485	700	741
486	701	739
487	702	737
488	703	735
489	704	733
490	705	731
491	706	729
492	708	728
493	709	726
494	710	725
495	711	723
496	712	721
497	714	719
498	715	718
499	716	716
500	717	714
501	718	713
502	719	711
503	720	709
504	721	707
505	723	705
506	724	704
507	725	702
508	726	700
509	727	699
510	728	697
511	729	695
512	731	694
513	732	692
514	733	690
515	734	688
516	735	686
517	736	685
518	737	683
519	738	681
520	739	679
521	740	678
522	741	676
523	742	674
524	743	672
525	744	670
526	745	669
527	746	667
528	747	665
529	748	663
530	749	662
531	750	660
532	751	658
533	752	657
534	754	655
535	755	653
536	756	651
537	757	650
538	757	648
539	759	646
540	760	644
541	761	643
542	762	641
543	763	639
544	764	637
545	764	636
546	766	634
547	767	632
548	768	631
549	769	629
550	770	627
551	771	626
552	772	624
553	773	622
554	774	620
555	775	619
556	776	617
557	777	615
558	778	614
559	779	612
560	780	611
561	781	609
562	783	607
563	784	606
564	785	604
565	786	602
566	787	601
567	788	599
568	789	597
569	790	596
570	791	594
571	792	592
572	793	591
573	794	589
574	795	587
575	796	586
576	797	584
577	798	582
578	799	581
579	800	579
580	801	578
581	802	576
582	803	574
583	804	573
584	805	571
585	806	569
586	807	568
587	808	566
588	810	565
589	811	563
590	812	562
591	813	560
592	814	559
593	815	557
594	816	555
595	817	554
596	818	552
597	819	551
598	820	549
599	821	547
600	822	546
601	823	544
602	824	542
603	825	541
604	826	539
605	827	538
606	828	536
607	830	535
608	831	533
609	832	532
610	833	530
611	834	528
612	835	527
613	836	525
614	837	524
615	838	522
616	838	520
617	839	519
618	840	517
619	841	516
620	843	514
621	843	512
622	844	511
623	845	509
624	846	508
625	847	506
626	848	505
627	849	503
628	850	501
629	851	500
630	852	498
631	854	497
632	855	495
633	856	494
634	857	492
635	858	491
636	859	489
637	860	488
638	861	486
639	862	485
640	863	483
641	864	482
642	865	480
643	866	479
644	867	477
645	868	476
646	869	474
647	870	473
648	871	471
649	872	470
650	874	468
651	874	466
652	875	465
653	876	463
654	877	462
655	878	460
656	879	459
657	880	457
658	881	456
659	883	454
660	883	453
661	884	451
662	886	450
663	887	448
664	888	447
665	889	445
666	890	444
667	891	442
668	891	441
669	892	439
670	893	438
671	894	436
672	896	435
673	897	433
674	898	432
675	899	431
676	900	429
677	901	428
678	902	426
679	903	425
680	904	423
681	905	422
682	906	420
683	907	419
684	908	417
685	910	416
686	911	415
687	912	413
688	913	412
689	914	411
690	915	409
691	917	408
692	918	406
693	919	405
694	920	404
695	921	402
696	922	401
697	923	399
698	925	398
699	926	396
700	927	395
701	928	393
702	929	392
703	930	391
704	931	389
705	932	388
706	933	386
707	933	385
708	934	383
709	936	382
710	937	381
711	938	379
712	939	378
713	940	376
714	941	375
715	942	374
716	943	372
717	945	371
718	946	369
719	946	368
720	947	366
721	949	365
722	949	363
723	950	362
724	951	361
725	952	359
726	953	358
727	955	356
728	956	355
729	957	353
730	958	352
731	958	351
732	959	349
733	960	348
734	961	346
735	963	345
736	963	343
737	964	342
738	965	341
739	966	339
740	968	338
741	969	337
742	970	335
743	971	334
744	972	332
745	973	331
746	974	329
747	975	328
748	976	327
749	977	325
750	978	324
751	979	322
752	980	321
753	981	320
754	982	318
755	983	317
756	984	315
757	985	314
758	986	313
759	987	311
760	988	310
761	989	309
762	990	307
763	991	306
764	992	304
765	993	303
766	994	302
767	995	300
768	996	299
769	997	298
770	998	296
771	999	295
772	1001	293
773	1001	292
774	1002	291
775	1003	289
776	1004	288
777	1005	287
778	1006	285
779	1007	284
780	1008	282
781	1009	281
782	1011	280
783	1012	278
784	1013	277
785	1014	276
786	1015	274
787	1016	273
788	1017	272
789	1019	270
790	1020	269
791	1021	268
792	1022	266
793	1023	265
794	1025	264
795	1026	262
796	1027	261
797	1028	260
798	1029	258
799	1030	257
800	1031	256
801	1032	254
802	1033	253
803	1034	252
804	1035	250
805	1037	249
806	1038	248
807	1039	246
808	1040	245
809	1041	244
810	1042	242
811	1044	241
812	1045	240
813	1046	239
814	1047	237
815	1048	236
816	1049	235
817	1050	233
818	1051	232
819	1052	231
820	1053	229
821	1054	228
822	1056	227
823	1057	225
824	1058	224
825	1059	223
826	1060	221
827	1061	220
828	1063	219
829	1064	217
